"id","class","category"
133411,8,1
133642,8,1
133557,8,1
133624,8,1
133376,8,1
133326,8,1
133133,8,1
133463,8,1
132940,8,1
133513,8,1
133132,8,1
133283,8,1
133583,8,1
133112,8,1
133322,8,1
132984,8,1
133396,8,1
133661,8,1
133223,8,1
133688,8,1
133387,8,1
132981,8,1
133401,8,1
133600,8,1
133319,8,1
133617,8,1
133081,8,1
133233,8,1
133500,8,1
133394,8,1
132969,8,1
133359,8,1
133294,8,1
133327,8,1
132990,8,1
133531,8,1
132972,8,1
133494,8,1
133247,8,1
132935,8,1
133647,8,1
133164,8,1
133115,8,1
133427,8,1
133320,8,1
133338,8,1
133203,8,1
133291,8,1
133432,8,1
133025,8,1
133532,8,1
132909,8,1
133441,8,1
132931,8,1
132970,8,1
133523,8,1
133332,8,1
133093,8,1
133501,8,1
133156,8,1
132896,8,1
132865,8,1
133415,8,1
132973,8,1
133689,8,1
133484,8,1
133174,8,1
133069,8,1
133092,8,1
133620,8,1
133383,8,1
132890,8,1
133287,8,1
133695,8,1
133497,8,1
133684,8,1
133628,8,1
133506,8,1
133321,8,1
133124,8,1
133102,8,1
132920,8,1
133656,8,1
133369,8,1
8262,8,1
133173,8,1
133588,8,1
133057,8,1
133289,8,1
133228,8,1
133577,8,1
132899,8,1
132964,8,1
132996,8,1
133036,8,1
133109,8,1
133354,8,1
133019,8,1
133074,8,1
133515,8,1
133368,8,1
133391,8,1
132898,8,1
132995,8,1
133014,8,1
132968,8,1
133269,8,1
133193,8,1
133529,8,1
133182,8,1
133472,8,1
133660,8,1
133542,8,1
133310,8,1
133539,8,1
133147,8,1
133565,8,1
133619,8,1
133032,8,1
133276,8,1
133612,8,1
133012,8,1
133374,8,1
133162,8,1
133263,8,1
133696,8,1
133113,8,1
133443,8,1
132866,8,1
133185,8,1
133422,8,1
133220,8,1
133460,8,1
133623,8,1
133375,8,1
133229,8,1
133433,8,1
133489,8,1
133131,8,1
133064,8,1
132930,8,1
133117,8,1
133434,8,1
132892,8,1
132932,8,1
132942,8,1
133079,8,1
133007,8,1
133404,8,1
132977,8,1
133450,8,1
133409,8,1
133190,8,1
132870,8,1
133335,8,1
133356,8,1
14500,8,1
133219,8,1
133165,8,1
133453,8,1
133664,8,1
133261,8,1
133041,8,1
133558,8,1
133360,8,1
133581,8,1
132880,8,1
133488,8,1
132956,8,1
132928,8,1
133456,8,1
133067,8,1
132974,8,1
133011,8,1
133097,8,1
133099,8,1
133637,8,1
133309,8,1
63576,8,1
133150,8,1
133107,8,1
133123,8,1
133499,8,1
133486,8,1
133358,8,1
133038,8,1
133399,8,1
133568,8,1
133512,8,1
133118,8,1
133296,8,1
133540,8,1
132860,8,1
133526,8,1
133435,8,1
133145,8,1
133126,8,1
133633,8,1
132957,8,1
133235,8,1
133177,8,1
133498,8,1
133697,8,1
133403,8,1
133206,8,2
132913,8,2
133254,8,2
133464,8,2
133467,8,2
133046,8,2
133384,8,2
133142,8,2
50016125,8,2
133701,8,2
133108,8,2
133602,8,2
133517,8,2
133226,8,2
133466,8,2
133331,8,2
133373,8,2
133134,8,2
133170,8,2
133361,8,2
50148695,8,2
133692,8,2
133683,8,2
133552,8,2
132959,8,2
132897,8,2
133301,8,2
132943,8,2
133006,8,3
133381,8,3
133300,8,3
133574,8,3
63579,8,3
133121,8,3
63580,8,3
