"id","class","category"
"3","7","3"
"198783","7","3"
"198784","7","3"
"6","7","3"
"198787","7","3"
"7","7","3"
"198786","7","3"
"198785","7","3"
"8","7","3"
"30478","12","3"
"30320","12","3"
"32318","12","3"
"44724","12","3"
"9","4","3"
"32319","12","3"
"18","0","3"
"203014","2","3"
"44059","11","3"
"29479","2","3"
"44060","11","3"
"44061","11","3"
"31644","11","3"
"31642","11","3"
"43894","11","3"
"45174","11","3"
"45173","11","3"
"35066","11","3"
"158924","6","3"
"60633","4","3"
"203404","4","3"
"19017787","4","3"
"164562","2","3"
"61454","2","3"
"61459","2","3"
"38181","10","3"
"61463","2","3"
"19674914","6","3"
"31335","11","3"
"46386","11","3"
"32854","11","3"
"176325","2","3"
"168","7","3"
"40966","11","3"
"169","7","3"
"171","7","3"
"172","7","3"
"175","7","3"
"178","7","3"
"177","7","3"
"176","7","3"
"182","7","3"
"183","7","3"
"209","7","3"
"188","7","3"
"191","7","3"
"190","7","3"
"194","7","3"
"193","7","3"
"195","7","3"
"197","7","3"
"200","7","3"
"201","7","3"
"199","7","3"
"203","7","3"
"205","7","3"
"207","7","3"
"212","4","3"
"44075","11","3"
"43095","11","3"
"44147","11","3"
"43093","11","3"
"20638495","6","3"
"221","0","3"
"20638574","6","3"
"220","0","3"
"231","4","3"
"232","4","3"
"241","4","3"
"224","4","3"
"225","4","3"
"228","4","3"
"235","4","3"
"236","4","3"
"229","4","3"
"230","4","3"
"44561","4","3"
"31052","12","3"
"43184845","6","3"
"50126558","11","3"
"65403156","9","3"
"103870843","1","3"
"103871084","1","3"
"39187","12","3"
"22714797","1","3"
"103870973","1","3"
"103780118","1","3"
"22735588","1","3"
"156051","7","3"
"133006","8","3"
"133381","8","3"
"16896690","6","3"
"15038553","6","3"
"156791","7","3"
"507","7","3"
"36328","11","3"
"31223","11","3"
"38406","11","3"
"54457","3","3"
"512","0","3"
"54458","3","3"
"78772698","12","3"
"522","6","3"
"523","4","3"
"56499847","11","3"
"44392746","10","3"
"46258","11","3"
"22689559","1","3"
"68501417","10","3"
"68501322","10","3"
"19892137","11","3"
"68501481","10","3"
"43106","11","3"
"43108","11","3"
"43112","11","3"
"199869","11","3"
"61628","11","3"
"178183","2","3"
"2664","3","3"
"196533","9","3"
"158066","10","3"
"39539","10","3"
"39540","10","3"
"55855","3","3"
"56500529","11","3"
"55293","3","3"
"30978","12","3"
"67367669","6","3"
"179885","11","3"
"36636","11","3"
"36611","11","3"
"31088","11","3"
"36626","11","3"
"38417","11","3"
"36652","11","3"
"36644","11","3"
"36623","11","3"
"39312","6","3"
"32548","11","3"
"162278","11","3"
"136218","0","3"
"176770","2","3"
"196322","4","3"
"176714","2","3"
"22717428","1","3"
"776","9","3"
"33503","11","3"
"103636653","10","3"
"135620","4","3"
"135598","4","3"
"19018610","4","3"
"19885345","4","3"
"135503","4","3"
"22726971","1","3"
"810","0","3"
"39744","11","3"
"44144","11","3"
"34045","11","3"
"33574","11","3"
"56088","3","3"
"44579133","2","3"
"68501458","11","3"
"19672436","6","3"
"867","2","3"
"199882","10","3"
"199884","10","3"
"172118","10","3"
"55099","3","3"
"199886","11","3"
"180563","6","3"
"32608","11","3"
"169372","4","3"
"881","4","3"
"194641","11","3"
"133705","10","3"
"133707","10","3"
"158325","10","3"
"133708","10","3"
"158195","10","3"
"201327","10","3"
"158335","10","3"
"158247","10","3"
"201342","10","3"
"201368","10","3"
"158284","10","3"
"201345","10","3"
"31016","10","3"
"158037","10","3"
"22691030","1","3"
"135582","4","3"
"61393","4","3"
"39917","0","3"
"925","0","3"
"43900","0","3"
"36216","11","3"
"44393286","10","3"
"44073","11","3"
"44058","11","3"
"44110","11","3"
"44111","11","3"
"76338143","3","3"
"56319","3","3"
"932","3","3"
"939","2","3"
"54886","3","3"
"190566","2","3"
"168175","7","3"
"155645","7","3"
"984","6","3"
"45179","11","3"
"171958","7","3"
"155894","7","3"
"171938","7","3"
"44077","11","3"
"986","7","3"
"22686239","1","3"
"985","7","3"
"1076","9","3"
"987","7","3"
"988","7","3"
"59054","3","3"
"59050","3","3"
"59058","3","3"
"59051","3","3"
"59055","3","3"
"59061","3","3"
"1095","3","3"
"59070","3","3"
"50009685","2","3"
"55224","3","3"
"174139","2","3"
"29432","3","3"
"44791445","6","3"
"32492","12","3"
"19198593","6","3"
"63402","11","3"
"19893100","11","3"
"46294","10","3"
"201757","10","3"
"201756","10","3"
"201759","10","3"
"169382","4","3"
"74855790","2","3"
"19045","9","3"
"74856459","2","3"
"74855383","2","3"
"30569","11","3"
"43203","11","3"
"165189","11","3"
"49830703","4","3"
"166094","4","3"
"166068","4","3"
"166177","4","3"
"176265","9","3"
"44393368","10","3"
"1262","7","3"
"1261","7","3"
"196505","9","3"
"55170","3","3"
"22680203","1","3"
"19199315","6","3"
"1272","3","3"
"45926","10","3"
"161942","11","3"
"1290","6","3"
"13188471","11","3"
"68501579","10","3"
"68501446","10","3"
"68501336","10","3"
"68501406","10","3"
"68501442","10","3"
"44393616","10","3"
"68501420","10","3"
"68501519","10","3"
"68501478","10","3"
"68501557","10","3"
"68501561","10","3"
"60344","4","3"
"44393406","10","3"
"35219","11","3"
"47347526","11","3"
"19672459","6","3"
"59696","6","3"
"33005","11","3"
"33067","11","3"
"31894","11","3"
"33006","11","3"
"103633718","11","3"
"33084","11","3"
"42817","11","3"
"107250314","11","3"
"42819","11","3"
"42818","11","3"
"32531","11","3"
"184637","9","3"
"184606","9","3"
"190943","3","3"
"47709755","6","3"
"1319","2","3"
"178278","2","3"
