"id","class","category"
"4","7","2"
"32101","12","2"
"42285","12","2"
"32463","12","2"
"13188339","11","2"
"5","7","2"
"46186032","12","2"
"42286","12","2"
"34123","12","2"
"31244","12","2"
"31325","12","2"
"34125","12","2"
"42295","12","2"
"34126","12","2"
"30309","12","2"
"203013","2","2"
"63676","2","2"
"32320","12","2"
"63675","2","2"
"203015","2","2"
"63677","2","2"
"203016","2","2"
"63682","2","2"
"63681","2","2"
"63678","2","2"
"203017","2","2"
"20","2","2"
"203018","2","2"
"68002718","11","2"
"19893073","11","2"
"19892461","11","2"
"19892724","11","2"
"32968","11","2"
"19891443","11","2"
"31643","11","2"
"37917","11","2"
"19892935","11","2"
"41211","0","2"
"19891778","11","2"
"103672434","1","2"
"39810","0","2"
"196134","9","2"
"39808","0","2"
"18129","0","2"
"39816","0","2"
"42857","11","2"
"42858","11","2"
"18136","4","2"
"22684969","1","2"
"60482909","4","2"
"15038384","6","2"
"56420","3","2"
"56447","3","2"
"56389","3","2"
"56487","3","2"
"56518","3","2"
"56483","3","2"
"56552","3","2"
"56557","3","2"
"56529","3","2"
"56569","3","2"
"56593","3","2"
"56600","3","2"
"56662","3","2"
"56619","3","2"
"56614","3","2"
"56666","3","2"
"56683","3","2"
"56673","3","2"
"56723","3","2"
"56738","3","2"
"56769","3","2"
"56804","3","2"
"56771","3","2"
"56762","3","2"
"56832","3","2"
"56845","3","2"
"56884","3","2"
"56880","3","2"
"194803","3","2"
"56904","3","2"
"56957","3","2"
"56961","3","2"
"56966","3","2"
"56971","3","2"
"57005","3","2"
"56974","3","2"
"57016","3","2"
"38644","10","2"
"57046","3","2"
"38740","10","2"
"80228952","10","2"
"18183","4","2"
"18182","4","2"
"135988","3","2"
"57983","3","2"
"136142","3","2"
"57981","3","2"
"153827","5","2"
"18191","5","2"
"18195","5","2"
"153777","5","2"
"18198","5","2"
"153887","5","2"
"18211","5","2"
"18201","5","2"
"18230","0","2"
"18333","4","2"
"169366","4","2"
"48283564","2","2"
"18337","6","2"
"18357","0","2"
"18355","0","2"
"193453","2","2"
"37389","11","2"
"171878","9","2"
"18354","0","2"
"37577","11","2"
"34266","11","2"
"200380","11","2"
"34615","11","2"
"61561","2","2"
"200369","11","2"
"200377","11","2"
"200371","11","2"
"200378","11","2"
"200370","11","2"
"156163","7","2"
"59766","6","2"
"63139","6","2"
"162185","10","2"
"196262","9","2"
"173204","6","2"
"184517","7","2"
"48153937","11","2"
"31613","11","2"
"59375","3","2"
"59377","3","2"
"59289","3","2"
"59384","3","2"
"59390","3","2"
"59394","3","2"
"59402","3","2"
"61912","3","2"
"68460149","6","2"
"61882","3","2"
"43839","11","2"
"29618","9","2"
"47251834","6","2"
"58825","3","2"
"58893","3","2"
"61883","3","2"
"61887","3","2"
"58933","3","2"
"61889","3","2"
"58900","3","2"
"58937","3","2"
"19448837","4","2"
"60810","4","2"
"61341","4","2"
"54126285","4","2"
"19449272","4","2"
"63659","2","2"
"61355","4","2"
"45517","11","2"
"41050","3","2"
"157538","6","2"
"31291","12","2"
"44755","11","2"
"22724813","1","2"
"47608216","11","2"
"33881","11","2"
"46162","11","2"
"31211","11","2"
"33568","11","2"
"33865","11","2"
"46103","11","2"
"32570","11","2"
"38840","11","2"
"38030","11","2"
"136021","3","2"
"46166","11","2"
"18656","0","2"
"63572","4","2"
"18657","0","2"
"29473","0","2"
"180004","12","2"
"179857","12","2"
"22678891","1","2"
"22678896","1","2"
"202766","11","2"
"32104","11","2"
"168259","4","2"
"22698001","1","2"
"180781","4","2"
"22698088","1","2"
"22698062","1","2"
"22728132","1","2"
"18703","0","2"
"18739","0","2"
"22691470","1","2"
"22691435","1","2"
"58494","3","2"
"96306872","4","2"
"55909","3","2"
"44508","4","2"
"55912","3","2"
"55913","3","2"
"35956","11","2"
"55915","3","2"
"35959","11","2"
"37811","11","2"
"35039","11","2"
"30726","11","2"
"168159","7","2"
"34662","11","2"
"30957","11","2"
"43321","10","2"
"19070","2","2"
"155759","7","2"
"22726233","1","2"
"22692476","1","2"
"22687987","1","2"
"46106","11","2"
"19304","3","2"
"58927","3","2"
"58934","3","2"
"19314","4","2"
"19334","0","2"
"19348","0","2"
"38664","10","2"
"38667","10","2"
"38676","10","2"
"151816","11","2"
"151953","11","2"
"34108","12","2"
"80212484","11","2"
"44698074","6","2"
"44698046","6","2"
"58970","3","2"
"58974","3","2"
"47144519","3","2"
"135910","3","2"
"63900","2","2"
"203586","2","2"
"198403","2","2"
"30764","11","2"
"176323","2","2"
"42760305","2","2"
"202821","11","2"
"44660","4","2"
"19482","4","2"
"19488","4","2"
"54715","3","2"
"167465","6","2"
"54757","3","2"
"19549","0","2"
"19597","0","2"
"19596","0","2"
"201468","9","2"
"19604","6","2"
"65402468","6","2"
"152405","11","2"
"75121617","12","2"
"57971","3","2"
"49583046","3","2"
"66390759","3","2"
"49584796","3","2"
"57975","3","2"
"100339944","3","2"
"58011","3","2"
"58013","3","2"
"22701706","1","2"
"196487","9","2"
"60180","4","2"
"22685766","1","2"
"164415","10","2"
"178672","2","2"
"22734528","1","2"
"35976","11","2"
"35984","11","2"
"35992","11","2"
"36003","11","2"
"169294","6","2"
"33869","11","2"
"185584","10","2"
"200431","11","2"
"22735692","1","2"
"38117","11","2"
"38690","10","2"
"4265","0","2"
"38112","11","2"
"54991","3","2"
"4273","0","2"
"165146","11","2"
"68468511","6","2"
"43612","12","2"
"19796","2","2"
"32533","11","2"
"136420","0","2"
"172312","4","2"
"40644","0","2"
"19833","0","2"
"19841","0","2"
"158102","11","2"
"158378","11","2"
"158404","11","2"
"158392","11","2"
"36258","11","2"
"158376","11","2"
"31250","11","2"
"155788","7","2"
"19862","4","2"
"19876","4","2"
"45575","11","2"
"135427","4","2"
"19885","7","2"
"19898","4","2"
"158094","11","2"
"38390","11","2"
"37712","11","2"
"169197","6","2"
"21751854","6","2"
"32973","11","2"
"40116","11","2"
"40118","11","2"
"42770","11","2"
"196120","9","2"
"180647","4","2"
"42782","11","2"
"161993","11","2"
"161855","11","2"
"134616","5","2"
"156194","7","2"
"30448","11","2"
"60987","4","2"
"57998","3","2"
"30449","11","2"
"64093","2","2"
"34245","11","2"
"34505","11","2"
"31023","11","2"
"32832","11","2"
"34650","11","2"
"34247","11","2"
"33840","11","2"
"64304382","9","2"
"80219156","11","2"
"172493","4","2"
"168520","4","2"
"181190","4","2"
"19993","4","2"
"40873","11","2"
"152765","11","2"
"151940","11","2"
"31817","11","2"
"59772","6","2"
"195500","3","2"
"46196","10","2"
"37974","11","2"
"39470","11","2"
"20034","4","2"
"54723","3","2"
"54794","3","2"
"22693068","1","2"
"33875","11","2"
"199556","6","2"
"60484369","4","2"
"181886","4","2"
"57609","3","2"
"57616","3","2"
"57618","3","2"
"22736477","1","2"
"103661238","1","2"
"57620","3","2"
"22728464","1","2"
"196272","9","2"
"201419","9","2"
"22688308","1","2"
"43327245","10","2"
"43327313","10","2"
"39841","0","2"
"32521","11","2"
"31135","11","2"
"162308","11","2"
"162291","11","2"
"45211","11","2"
"187924","4","2"
"199500","6","2"
"201495","9","2"
"33099","11","2"
"22709655","1","2"
"37527","11","2"
"33404","11","2"
"33104","11","2"
"33105","11","2"
"31432","11","2"
"33410","11","2"
"33113","11","2"
"33276","11","2"
"33162","11","2"
"33132","11","2"
"33134","11","2"
"33623","11","2"
"33139","11","2"
"30825","11","2"
"184168","11","2"
"20189","0","2"
"196369","4","2"
"36039","11","2"
"136405","0","2"
"61641","11","2"
"20223","4","2"
"162290","11","2"
"172383","4","2"
"165227","11","2"
"31645","11","2"
"45175","11","2"
"49254351","6","2"
"46628","10","2"
"75","2","2"
"61452","2","2"
"61455","2","2"
"61462","2","2"
"19672351","6","2"
"48153861","11","2"
"22695659","1","2"
"139","0","2"
"138","0","2"
"135683","4","2"
"184445","4","2"
"47348726","11","2"
"193402","11","2"
"44393049","10","2"
"163601","6","2"
"44392403","10","2"
"38409","11","2"
"45659","11","2"
"244","4","2"
"195114","10","2"
"257","4","2"
"68981261","6","2"
"103635467","11","2"
"50126560","11","2"
"179842","11","2"
"179957","11","2"
"201646","11","2"
"179582","11","2"
"179340","11","2"
"22714802","1","2"
"104003523","1","2"
"22714852","1","2"
"22714757","1","2"
"22714704","1","2"
"22714832","1","2"
"313","6","2"
"103632552","11","2"
"177839","11","2"
"37423","11","2"
"133206","8","2"
"132913","8","2"
"133254","8","2"
"46609","12","2"
"16896956","6","2"
"16896959","6","2"
"34365","11","2"
"19672398","6","2"
"22726874","1","2"
"22726883","1","2"
"502","7","2"
"195374","12","2"
"46392","11","2"
"31224","11","2"
"31222","11","2"
"31220","11","2"
"30388","11","2"
"33612","11","2"
"30389","11","2"
"56302","3","2"
"513","9","2"
"515","7","2"
"203337","2","2"
"521","2","2"
"179275","11","2"
"179459","11","2"
"179807","11","2"
"179785","11","2"
"165109","11","2"
"103633396","11","2"
"54459","3","2"
"91150579","12","2"
"46604","12","2"
"46602","12","2"
"32924","11","2"
"525","7","2"
"43221","10","2"
"44393202","10","2"
"43223","10","2"
"43227","10","2"
"46259","11","2"
"38136","11","2"
"46260","11","2"
"162065","11","2"
"43101","11","2"
"22678559","1","2"
"70102824","10","2"
"38070","11","2"
"70102478","10","2"
"46292","10","2"
"70102368","10","2"
"43105","11","2"
"22728583","1","2"
"68002506","11","2"
"43110","11","2"
"43114","11","2"
"60120","4","2"
"60119","4","2"
"60121","4","2"
"619","7","2"
"22718068","1","2"
"595","5","2"
"56057","3","2"
"136149","3","2"
"56065","3","2"
"56066","3","2"
"35175","11","2"
"34203","12","2"
"19672414","6","2"
"19672423","6","2"
"19672427","6","2"
"32811","11","2"
"178405","2","2"
"623","6","2"
"622","6","2"
"624","6","2"
"55288","3","2"
"202905","12","2"
"31862","12","2"
"30980","12","2"
"34321","12","2"
"31865","12","2"
"56495741","10","2"
"22724196","1","2"
"22724209","1","2"
"179380","11","2"
"179641","11","2"
"22687794","1","2"
"179593","11","2"
"179413","11","2"
"179567","11","2"
"84500429","3","2"
"22733891","1","2"
"176502","10","2"
"43915","10","2"
"176547","10","2"
"172654","2","2"
"47943474","6","2"
"31349","11","2"
"35205","11","2"
"43757","10","2"
"32932","11","2"
"714","0","2"
"38069","10","2"
"38942","10","2"
"176763","2","2"
"39216","12","2"
"773","9","2"
"774","9","2"
"32948","11","2"
"189371","9","2"
"30340","11","2"
"103636581","10","2"
"19018221","4","2"
"19018242","4","2"
"135496","4","2"
"19018407","4","2"
"61370","4","2"
"135590","4","2"
"135641","4","2"
"135594","4","2"
"199871","11","2"
"816","0","2"
"809","0","2"
"60452","4","2"
"162346","11","2"
"34927","11","2"
"182708","4","2"
"182881","4","2"
"46623","12","2"
"46621","12","2"
"840","2","2"
"37786","11","2"
"172058","10","2"
"199883","10","2"
"199880","10","2"
"55108","3","2"
"55100","3","2"
"55141","3","2"
"4237","0","2"
"4227","0","2"
"4244","0","2"
"158519","6","2"
"59840","6","2"
"46119","11","2"
"172762","2","2"
"34053","11","2"
"38140","11","2"
"201335","10","2"
"201371","10","2"
"201364","10","2"
"201380","10","2"
"35861","10","2"
"201393","10","2"
"30901","10","2"
"158082","10","2"
"201386","10","2"
"30747","10","2"
"201374","10","2"
"46723","10","2"
"201401","10","2"
"201387","10","2"
"201392","10","2"
"201336","10","2"
"201403","10","2"
"39056","10","2"
"201332","10","2"
"890","6","2"
"44392487","10","2"
"44392819","10","2"
"201408","10","2"
"158221","10","2"
"158319","10","2"
"201322","10","2"
"201404","10","2"
"39586","10","2"
"201384","10","2"
"201343","10","2"
"39057","10","2"
"201354","10","2"
"201372","10","2"
"201331","10","2"
"22691076","1","2"
"22691047","1","2"
"914","0","2"
"918","0","2"
"135559","4","2"
"46261","11","2"
"198136","5","2"
"46403","11","2"
"46405","11","2"
"32475","11","2"
"43600","12","2"
"941","2","2"
"176330","2","2"
