"id","class","category"
"1117","4","4"
"29611","7","4"
"29613","7","4"
"34308","11","4"
"29612","7","4"
"54583","3","4"
"165228","10","4"
"51247708","11","4"
"165247","10","4"
"51247667","11","4"
"38124","11","4"
"51247690","11","4"
"51247699","11","4"
"38125","11","4"
"51247712","11","4"
"22706052","1","4"
"38493","10","4"
"9021","2","4"
"30366","10","4"
"6174","4","4"
"6144","4","4"
"44135","11","4"
"34028","11","4"
"44056","11","4"
"44109","11","4"
"56605187","12","4"
"41882","12","4"
"41764","12","4"
"41881","12","4"
"41896","12","4"
"7121","0","4"
"31680","11","4"
"37613","11","4"
"32349","11","4"
"30408","11","4"
"22692441","1","4"
"30932","11","4"
"37595","11","4"
"32059","11","4"
"37503","11","4"
"61670","11","4"
"22678486","1","4"
"13013","4","4"
"11690","6","4"
"54837","3","4"
"185459","11","4"
"15568","0","4"
"2173","2","4"
"16286","7","4"
"16288","7","4"
"16275","7","4"
"16277","7","4"
"16278","7","4"
"16320","7","4"
"16281","7","4"
"16293","7","4"
"16346","7","4"
"16345","7","4"
"16344","7","4"
"16348","7","4"
"16347","7","4"
"16283","7","4"
"16330","7","4"
"16295","7","4"
"37821","11","4"
"133711","11","4"
"20285","4","4"
"20745","4","4"
"30392","11","4"
"22725862","1","4"
"37996","11","4"
"30560","11","4"
"21741","5","4"
"22690740","1","4"
"44072","11","4"
"195373","11","4"
"82","6","4"
"37854","11","4"
"199821","11","4"
"167","7","4"
"170","7","4"
"211","7","4"
"174","7","4"
"210","7","4"
"173","7","4"
"179","7","4"
"181","7","4"
"180","7","4"
"185","7","4"
"184","7","4"
"189","7","4"
"186","7","4"
"192","7","4"
"198","7","4"
"202","7","4"
"251","4","4"
"204","7","4"
"44074","11","4"
"103780156","1","4"
"103780078","1","4"
"103780109","1","4"
"46603","12","4"
"103780103","1","4"
"22735592","1","4"
"62184893","1","4"
"524","7","4"
"705","6","4"
"706","6","4"
"704","6","4"
"707","6","4"
"708","6","4"
"611","9","4"
"22728910","1","4"
"103823431","1","4"
"709","6","4"
"103823212","1","4"
"103823250","1","4"
"780","9","4"
"22691601","1","4"
"777","9","4"
"778","9","4"
"19018670","4","4"
"787","4","4"
"813","0","4"
"62759683","1","4"
"22691056","1","4"
"879","6","4"
"44579175","2","4"
"22691052","1","4"
"22729490","1","4"
"22728658","1","4"
"989","7","4"
"991","7","4"
"990","7","4"
"993","7","4"
"992","7","4"
"994","7","4"
"997","7","4"
"999","7","4"
"995","7","4"
"996","7","4"
"998","7","4"
"1000","7","4"
"22728705","1","4"
"1119","2","4"
"22728701","1","4"
"1168","7","4"
"1164","7","4"
"166049","4","4"
"22728666","1","4"
"22728814","1","4"
"1848","4","4"
"22728662","1","4"
"22728884","1","4"
"61225","4","4"
"22710511","1","4"
"22710496","1","4"
"22724513","1","4"
"22710499","1","4"
"22734867","1","4"
"18290783","11","4"
"2100","6","4"
"61652","11","4"
"54561","3","4"
"54522","3","4"
"54518","3","4"
"2411","7","4"
"22728754","1","4"
"11768","7","4"
"61247","4","4"
"2412","7","4"
"195376","11","4"
"62183030","1","4"
"2733","7","4"
"63545","11","4"
"39087","11","4"
"136805","0","4"
"71510353","0","4"
"2864","2","4"
"2886","0","4"
"136721","0","4"
"2885","0","4"
"22728804","1","4"
"3121","0","4"
"155997","7","4"
"184739","7","4"
"184511","7","4"
"184705","7","4"
"184553","7","4"
"32226","11","4"
"22728873","1","4"
"3523","7","4"
"22734732","1","4"
"153825","5","4"
"3626","0","4"
"153621","5","4"
"3714","7","4"
"3719","6","4"
"35330","11","4"
"22680418","1","4"
"22728892","1","4"
"3875","7","4"
"3876","7","4"
"3877","7","4"
"3878","7","4"
"3879","7","4"
"3881","7","4"
"3880","7","4"
"3882","7","4"
"3883","7","4"
"3885","7","4"
"3884","7","4"
"3886","7","4"
"3887","7","4"
"3888","7","4"
"3889","7","4"
"3890","7","4"
"3891","7","4"
"3892","7","4"
"3893","7","4"
"3896","7","4"
"3895","7","4"
"35350","11","4"
"22720622","1","4"
"30527","11","4"
"4097","2","4"
"44151","10","4"
"165235","11","4"
"196771","9","4"
"4322","0","4"
"184510","9","4"
"22704348","1","4"
"4589","4","4"
"9017","2","4"
"4530","4","4"
"62239833","1","4"
"9023","2","4"
"4635","7","4"
"4636","7","4"
"4637","7","4"
"4638","7","4"
"4640","7","4"
"4639","7","4"
"4641","7","4"
"4642","7","4"
"13152363","2","4"
"22728825","1","4"
"22687333","1","4"
"22728709","1","4"
"61345","4","4"
"22720840","1","4"
"35379","11","4"
"4955","7","4"
"40046","7","4"
"4961","6","4"
"203441","2","4"
"44126","11","4"
"62178398","1","4"
"31636","11","4"
"22727515","1","4"
"62322970","1","4"
"5111","6","4"
"5119","7","4"
"5166","7","4"
"22690222","1","4"
"62254534","1","4"
"37856","11","4"
"22690218","1","4"
"5223","0","4"
"75927841","0","4"
"63488699","2","4"
"5261","6","4"
"22685776","1","4"
"47102774","2","4"
"5361","4","4"
"135556","4","4"
"135627","4","4"
"135506","4","4"
"135671","4","4"
"5367","4","4"
"5371","4","4"
"5414","0","4"
"5380","4","4"
"135570","4","4"
"22678955","1","4"
"5438","4","4"
"22684143","1","4"
"56513","3","4"
"56588","3","4"
"32556","11","4"
"41320","0","4"
"136456","0","4"
"9722","4","4"
"5794","7","4"
"35036","11","4"
"34005","11","4"
"44101","11","4"
"44093","11","4"
"44141","11","4"
"44094","11","4"
"44096","11","4"
"30919","11","4"
"91172297","11","4"
"78777379","11","4"
"91172490","11","4"
"33554","11","4"
"91172805","11","4"
"78777637","11","4"
"34035","11","4"
"30921","11","4"
"33588","11","4"
"22685182","1","4"
"22728673","1","4"
"6025","7","4"
"6020","7","4"
"173001","2","4"
"6061","2","4"
"6062","2","4"
"6063","2","4"
"6065","2","4"
"6064","2","4"
"31184","11","4"
"202375","4","4"
"91177012","10","4"
"6176","4","4"
"6177","4","4"
"6155","4","4"
"6168","4","4"
"6179","4","4"
"91178520","11","4"
"34039","11","4"
"79862904","11","4"
"61483949","11","4"
"79863585","11","4"
"34040","11","4"
