"id","class","category"
"36563","11","1"
"36568","11","1"
"36545","11","1"
"30843","11","1"
"36553","11","1"
"36552","11","1"
"36558","11","1"
"36546","11","1"
"36555","11","1"
"36554","11","1"
"36567","11","1"
"36551","11","1"
"36557","11","1"
"36565","11","1"
"36559","11","1"
"190498","7","1"
"36556","11","1"
"31538","11","1"
"31539","11","1"
"33002","12","1"
"42280","12","1"
"191556","12","1"
"34120","12","1"
"191559","12","1"
"191557","12","1"
"42554","12","1"
"42297","12","1"
"34131","12","1"
"34127","12","1"
"20460959","12","1"
"191570","12","1"
"34130","12","1"
"34145","12","1"
"46188898","12","1"
"203012","2","1"
"166624","4","1"
"63684","2","1"
"166507","4","1"
"63685","2","1"
"63691","2","1"
"35102","11","1"
"203019","2","1"
"38212","11","1"
"34501","11","1"
"31191","11","1"
"38211","11","1"
"35159","11","1"
"35160","11","1"
"38366","11","1"
"34273","11","1"
"30902","11","1"
"62494299","11","1"
"32879","11","1"
"19891697","11","1"
"34388","11","1"
"34511","11","1"
"34384","11","1"
"33696","11","1"
"34804","11","1"
"34397","11","1"
"35065","11","1"
"45171","11","1"
"33617","11","1"
"133411","8","1"
"133642","8","1"
"45176","11","1"
"133557","8","1"
"43","6","1"
"133624","8","1"
"133376","8","1"
"133326","8","1"
"183968","4","1"
"183583","4","1"
"183873","4","1"
"183525","4","1"
"168135","7","1"
"61249","4","1"
"83","6","1"
"199610","2","1"
"61460","2","1"
"80","9","1"
"40729","6","1"
"170199","4","1"
"170173","4","1"
"45402","11","1"
"39032","11","1"
"177966","4","1"
"48153858","11","1"
"185473","11","1"
"169500","4","1"
"35203","11","1"
"22695605","1","1"
"22695494","1","1"
"22695553","1","1"
"36540","11","1"
"22695547","1","1"
"22695561","1","1"
"36476","11","1"
"46387","11","1"
"32480","11","1"
"32855","11","1"
"140","0","1"
"137","0","1"
"22682510","1","1"
"142","0","1"
"192028","2","1"
"161","2","1"
"213","4","1"
"199866","10","1"
"152561","11","1"
"187520","4","1"
"61192","4","1"
"44146","11","1"
"44393155","10","1"
"43094","11","1"
"44145","11","1"
"156820","7","1"
"44392841","10","1"
"156661","7","1"
"215","7","1"
"33743","11","1"
"64336724","6","1"
"218","6","1"
"216","7","1"
"89293224","7","1"
"219","0","1"
"222","4","1"
"45660","11","1"
"227","4","1"
"242","4","1"
"103635419","11","1"
"103635421","11","1"
"43096","11","1"
"161861","11","1"
"50126562","11","1"
"89294363","7","1"
"19672360","6","1"
"41230","2","1"
"85955099","11","1"
"19672365","6","1"
"22724510","1","1"
"103871334","1","1"
"22714791","1","1"
"22714696","1","1"
"22714826","1","1"
"22714839","1","1"
"22728387","1","1"
"169516","4","1"
"89694347","9","1"
"314","6","1"
"315","7","1"
"22483644","7","1"
"155993","7","1"
"155811","7","1"
"47693579","6","1"
"47693622","6","1"
"37418","11","1"
"37420","11","1"
"37421","11","1"
"37422","11","1"
"133133","8","1"
"133463","8","1"
"132940","8","1"
"133513","8","1"
"133132","8","1"
"133283","8","1"
"133583","8","1"
"133112","8","1"
"133322","8","1"
"132984","8","1"
"133396","8","1"
"133661","8","1"
"133223","8","1"
"133688","8","1"
"133387","8","1"
"132981","8","1"
"133401","8","1"
"133600","8","1"
"133319","8","1"
"133617","8","1"
"133081","8","1"
"133233","8","1"
"133500","8","1"
"133394","8","1"
"132969","8","1"
"133359","8","1"
"133294","8","1"
"133327","8","1"
"132990","8","1"
"133531","8","1"
"132972","8","1"
"133494","8","1"
"133247","8","1"
"132935","8","1"
"133647","8","1"
"133164","8","1"
"133115","8","1"
"133427","8","1"
"133320","8","1"
"133338","8","1"
"133203","8","1"
"133291","8","1"
"133432","8","1"
"133025","8","1"
"133532","8","1"
"132909","8","1"
"133441","8","1"
"132931","8","1"
"63609","12","1"
"15431203","6","1"
"22683542","1","1"
"22727941","1","1"
"499","7","1"
"501","7","1"
"506","7","1"
"4969","2","1"
"505","7","1"
"503","7","1"
"46389","11","1"
"46388","11","1"
"46390","11","1"
"46393","11","1"
"46391","11","1"
"46394","11","1"
"46395","11","1"
"31221","11","1"
"32552","11","1"
"35868","11","1"
"36329","11","1"
"36330","11","1"
"33609","11","1"
"180337","9","1"
"180518","9","1"
"180265","9","1"
"63727","2","1"
"134437","5","1"
"56300","3","1"
"30842","11","1"
"203338","2","1"
"33342","11","1"
"13188370","11","1"
"34516","11","1"
"43097","11","1"
"19892905","11","1"
"43098","11","1"
"31805","11","1"
"43218","10","1"
"43219","10","1"
"43222","10","1"
"43225","10","1"
"43226","10","1"
"43228","10","1"
"526","6","1"
"527","6","1"
"15595","0","1"
"36798","11","1"
"32647","11","1"
"37429","11","1"
"37430","11","1"
"38137","11","1"
"38138","11","1"
"37431","11","1"
"165110","11","1"
"162264","11","1"
"136484","0","1"
"549","0","1"
"43100","11","1"
"43102","11","1"
"36800","11","1"
"44393008","10","1"
"64563509","10","1"
"44393419","10","1"
"46293","10","1"
"22686507","1","1"
"22686581","1","1"
"19892014","11","1"
"32381","11","1"
"42566169","4","1"
"43113","11","1"
"84784918","4","1"
"59694","6","1"
"618","7","1"
"169202","6","1"
"169200","6","1"
"20638608","6","1"
"56070","3","1"
"56061","3","1"
"178664","2","1"
"56081","3","1"
"56080","3","1"
"34449","11","1"
"35733","11","1"
"179436","11","1"
"35424","11","1"
"34795","11","1"
"34796","11","1"
"32770","12","1"
"39468","11","1"
"22679430","1","1"
"19672430","6","1"
"158049","10","1"
"32192","11","1"
"22691975","1","1"
"33033","11","1"
"33032","11","1"
"33034","11","1"
"55292","3","1"
"17450723","2","1"
"33192","11","1"
"22685360","1","1"
"22697200","1","1"
"191547","7","1"
"75093504","12","1"
"132970","8","1"
"202906","12","1"
"31406","12","1"
"30977","12","1"
"185863","12","1"
"16435549","12","1"
"31864","12","1"
"179634","11","1"
"179575","11","1"
"22679545","1","1"
"43115","11","1"
"43119","11","1"
"36629","11","1"
"43116","11","1"
"33716","11","1"
"36638","11","1"
"36618","11","1"
"36608","11","1"
"36613","11","1"
"36639","11","1"
"36651","11","1"
"36635","11","1"
"34928","11","1"
"36633","11","1"
"37558","11","1"
"38416","11","1"
"33615","11","1"
"36643","11","1"
"36617","11","1"
"36625","11","1"
"36640","11","1"
"36614","11","1"
"36650","11","1"
"36620","11","1"
"36648","11","1"
"36649","11","1"
"36641","11","1"
"36615","11","1"
"36627","11","1"
"36624","11","1"
"32003","11","1"
"36647","11","1"
"36634","11","1"
"34915","11","1"
"36632","11","1"
"34916","11","1"
"36630","11","1"
"36642","11","1"
"34918","11","1"
"36612","11","1"
"36621","11","1"
"36619","11","1"
"38415","11","1"
"34920","11","1"
"36637","11","1"
"34921","11","1"
"34538","11","1"
"36628","11","1"
"36616","11","1"
"693","9","1"
"57383","3","1"
"694","9","1"
"37433","11","1"
"36132","11","1"
"59804","6","1"
"169207","6","1"
"32582","11","1"
"22700081","1","1"
"712","0","1"
"61430","2","1"
"44392562","10","1"
"40637","0","1"
"35207","11","1"
"154876","4","1"
"35210","11","1"
"38752","10","1"
"38941","10","1"
"38943","10","1"
"189382","7","1"
"761","0","1"
"772","6","1"
"200684","11","1"
"31866","11","1"
"34559","11","1"
"37769","11","1"
"775","9","1"
"38804","11","1"
"37566","11","1"
"202797","11","1"
"202798","11","1"
"36587","11","1"
"36582","11","1"
"33035","11","1"
"36581","11","1"
"35813","11","1"
"36584","11","1"
"35026","11","1"
"36591","11","1"
"34515","11","1"
"32247","11","1"
"44393381","10","1"
"135617","4","1"
"194299","4","1"
"184453","4","1"
"135527","4","1"
"61199","4","1"
"788","4","1"
"19018275","4","1"
"61391","4","1"
"19018419","4","1"
"41240","3","1"
"45178","11","1"
"60453","4","1"
"37565","11","1"
"169424","4","1"
"22700303","1","1"
"22700300","1","1"
"30699","11","1"
"161817","10","1"
"30751","11","1"
"134456","5","1"
"46622","12","1"
"850","0","1"
"862","5","1"
"34745","11","1"
"32812","11","1"
"863","5","1"
"32260","11","1"
"45460","11","1"
"30708","11","1"
"32204","11","1"
"180560","10","1"
"32734","11","1"
"172275","10","1"
"172153","10","1"
"172235","10","1"
"55066","3","1"
"55122","3","1"
"55092","3","1"
"868","0","1"
"55166","3","1"
"135892","3","1"
"869","7","1"
"4220","0","1"
"873","5","1"
"4230","0","1"
"874","5","1"
"876","9","1"
"47435899","10","1"
"63709138","10","1"
"42851","11","1"
"45661","11","1"
"45662","11","1"
"32752","11","1"
"37794","11","1"
"46176","11","1"
"32137","11","1"
"188136","11","1"
"33757","11","1"
"31678","11","1"
"32609","11","1"
"34441","11","1"
"45295","11","1"
"19892409","11","1"
"45296","11","1"
"39023","10","1"
"158261","10","1"
"158040","10","1"
"201411","10","1"
"882","6","1"
"886","6","1"
"883","6","1"
"885","6","1"
"887","6","1"
"888","6","1"
"891","6","1"
"892","6","1"
"158318","10","1"
"201356","10","1"
"157970","10","1"
"201402","10","1"
"31156","10","1"
"201398","10","1"
"201388","10","1"
"201373","10","1"
"44898","10","1"
"47348717","10","1"
"898","9","1"
"897","9","1"
"158024","10","1"
"896","9","1"
"22691024","1","1"
"22691061","1","1"
"22691042","1","1"
"161597","4","1"
"39339","4","1"
"161696","4","1"
"201946","4","1"
"907","4","1"
"905","4","1"
"39957","0","1"
"135533","4","1"
"43912","0","1"
"919","0","1"
"43899","0","1"
"44076","11","1"
"31134","11","1"
"35040","11","1"
"32468","11","1"
"36336","11","1"
"46404","11","1"
"34284","11","1"
"32898","11","1"
"928","3","1"
"40785","3","1"
"929","3","1"
"942","2","1"
"37336","11","1"
"46418","11","1"
"37334","11","1"
"37338","11","1"
"37337","11","1"
"44393129","10","1"
"39074","11","1"
"42799","11","1"
"39075","11","1"
"39073","11","1"
"42800","11","1"
"39076","11","1"
"39078","11","1"
"39079","11","1"
"39080","11","1"
"39077","11","1"
"39081","11","1"
"42801","11","1"
"39083","11","1"
"133523","8","1"
"133332","8","1"
"35212","11","1"
"133093","8","1"
"953","0","1"
"133501","8","1"
"979","3","1"
"133156","8","1"
"132896","8","1"
"132865","8","1"
"162181","11","1"
"977","3","1"
"156089","7","1"
"155674","7","1"
"155693","7","1"
"12241","7","1"
"156191","7","1"
"155634","7","1"
"156176","7","1"
"194471","7","1"
"156130","7","1"
"155910","7","1"
"22719618","1","1"
"34644","11","1"
"34645","11","1"
"103633495","10","1"
"1003","6","1"
"1002","6","1"
"22715170","1","1"
"22732147","1","1"
"22686231","1","1"
"22686395","1","1"
"22686342","1","1"
"22686325","1","1"
"22686296","1","1"
"22686209","1","1"
"22686403","1","1"
"22686251","1","1"
"22686246","1","1"
"22686215","1","1"
"22686387","1","1"
"161542","4","1"
"1086","2","1"
"44173","2","1"
"44174","2","1"
"44175","2","1"
"44178","2","1"
"44179","2","1"
"62008","0","1"
"39247","12","1"
"34426","11","1"
"136128","3","1"
"1098","3","1"
"55219","3","1"
"1099","3","1"
"55232","3","1"
"44791483","6","1"
"44791491","6","1"
"34416","12","1"
"32477","12","1"
"31265","12","1"
"203654","2","1"
"203655","2","1"
"202428","4","1"
"1141","0","1"
"1146","7","1"
"1148","6","1"
"1147","6","1"
"22721129","1","1"
"1151","0","1"
"189672","7","1"
"40045","7","1"
"58199","3","1"
"58212","3","1"
"58213","3","1"
"58218","3","1"
"58227","3","1"
"58228","3","1"
"202198","10","1"
"44393477","10","1"
"202216","10","1"
"202217","10","1"
"202231","10","1"
"32470","11","1"
"19891556","11","1"
"1154","0","1"
"44392279","10","1"
"89663791","10","1"
"39538","10","1"
"201760","10","1"
"157868","6","1"
"157692","6","1"
"1159","7","1"
"22701847","1","1"
"202770","11","1"
"45890","11","1"
"202771","11","1"
"1165","7","1"
"202772","11","1"
"202773","11","1"
"178205","2","1"
"1166","7","1"
"172881","2","1"
"178389","2","1"
"172859","2","1"
"172908","2","1"
"182068","4","1"
"181836","4","1"
"182019","4","1"
"74855859","2","1"
"35213","11","1"
"103634912","11","1"
"170871","7","1"
"171511","7","1"
"35214","11","1"
"1170","7","1"
"31674","11","1"
"22703786","1","1"
"1172","7","1"
"63403","11","1"
"1181","2","1"
"22703783","1","1"
"53877435","4","1"
"199895","11","1"
"103636721","11","1"
"58394172","4","1"
"20638636","6","1"
"175958","10","1"
"133415","8","1"
"132973","8","1"
"202924","11","1"
"178660","2","1"
"133689","8","1"
"64529440","6","1"
"87351292","6","1"
"175213","11","1"
"177392","11","1"
"22693928","1","1"
"177362","11","1"
"22727280","1","1"
"22680280","1","1"
"22680306","1","1"
"89293279","7","1"
"44392517","10","1"
"89293271","7","1"
"22680214","1","1"
"89293295","7","1"
"3169","3","1"
"179838","10","1"
"200680","11","1"
"156063","7","1"
"58693998","4","1"
"39474","11","1"
"183885","4","1"
"196504","9","1"
"64790978","4","1"
"135747","3","1"
"55171","3","1"
"136124","3","1"
"55195","3","1"
"136028","3","1"
"55210","3","1"
"34309","11","1"
"44392451","10","1"
"44892","11","1"
"44710118","6","1"
"162355","10","1"
"1276","5","1"
"46189","10","1"
"1285","6","1"
"46115","11","1"
"103633510","11","1"
"179619","10","1"
"39566","10","1"
"39567","10","1"
"16222675","10","1"
"46350","10","1"
"198973","4","1"
"34787","11","1"
"45881","11","1"
"1301","3","1"
"35215","11","1"
"35217","11","1"
"35216","11","1"
"35218","11","1"
"35220","11","1"
"35223","11","1"
"35224","11","1"
"45586","11","1"
"180032","11","1"
"31771","11","1"
"39907","2","1"
"32784","11","1"
"37682","11","1"
"30886","11","1"
"37683","11","1"
"31773","11","1"
"37684","11","1"
"38032","11","1"
"37685","11","1"
"37686","11","1"
"36394","11","1"
"48154045","11","1"
"37768","11","1"
"31348","11","1"
"36808","11","1"
"38331","11","1"
"31611","11","1"
"36809","11","1"
"36810","11","1"
"31612","11","1"
"30562","11","1"
"91149898","9","1"
"33787","11","1"
"57675","3","1"
"22685516","1","1"
"44091","10","1"
"34526","11","1"
"178284","2","1"
"64186","2","1"
"178608","2","1"
"178478","2","1"
"64205","2","1"
"178492","2","1"
"177907","2","1"
"55052","3","1"
"136051","3","1"
"1541","2","1"
"55117","3","1"
"133484","8","1"
"89564278","6","1"
"47709829","6","1"
"1560","6","1"
"1564","0","1"
"33036","11","1"
"44392142","10","1"
"22679869","1","1"
"22679886","1","1"
"54466","3","1"
"54475","3","1"
"54477","3","1"
"164782","3","1"
"54482","3","1"
"54484","3","1"
"54485","3","1"
"40523","0","1"
"39302","4","1"
"45885","11","1"
"22687699","1","1"
"34281","11","1"
"45886","11","1"
"34306","11","1"
"35511","11","1"
"32709","11","1"
"34786","11","1"
"22717663","1","1"
"22692109","1","1"
"22682444","1","1"
"42862","10","1"
"42867","10","1"
"42868","10","1"
"42872","10","1"
"44392182","10","1"
"42874","10","1"
"42880","10","1"
"42892","10","1"
"42891","10","1"
"42887","10","1"
"42894","10","1"
"42905","10","1"
"42907","10","1"
"42910","10","1"
"42911","10","1"
"42915","10","1"
"42921","10","1"
"42922","10","1"
"42924","10","1"
"42927","10","1"
"42936","10","1"
"42950","10","1"
"42952","10","1"
"42941","10","1"
"42959","10","1"
"42975","10","1"
"42969","10","1"
"42979","10","1"
"22718611","1","1"
"42978","10","1"
"22718582","1","1"
"22718591","1","1"
"159032","6","1"
"1675","6","1"
"34251","11","1"
"32583","11","1"
"34252","11","1"
"22692073","1","1"
"46772","11","1"
"22692064","1","1"
"29626","7","1"
"163577","6","1"
"33037","11","1"
"64081145","12","1"
"44166","0","1"
"1787","5","1"
"35422","11","1"
"39915","0","1"
"1807","0","1"
"1808","0","1"
"1802","0","1"
"22682824","1","1"
"22713737","1","1"
"22713830","1","1"
"1831","6","1"
"43120","11","1"
"33340","11","1"
"45993","11","1"
"1854","7","1"
"22699767","1","1"
"189643","7","1"
"1855","7","1"
"1858","7","1"
"42731","11","1"
"42735","11","1"
"42733","11","1"
"42732","11","1"
"42737","11","1"
"42740","11","1"
"42745","11","1"
"22705629","1","1"
"49829689","4","1"
"181994","4","1"
"182520","4","1"
"181757","4","1"
"183079","4","1"
"181768","4","1"
"182345","4","1"
"182450","4","1"
"169449","4","1"
"181645","4","1"
"182048","4","1"
"182101","4","1"
"182934","4","1"
"58084246","11","1"
"182492","4","1"
"58385545","4","1"
"60379","4","1"
"60469220","4","1"
"182467","4","1"
"61285","4","1"
"60361","4","1"
"63388","4","1"
"22710502","1","1"
"22710485","1","1"
"136362","0","1"
"185480","10","1"
"177177","10","1"
"46576","10","1"
"33511","11","1"
"34403","11","1"
"32584","11","1"
"180368","9","1"
"40737","6","1"
"62244","2","1"
"49829750","4","1"
"22678122","1","1"
"32322","11","1"
"22678132","1","1"
"60179","4","1"
"22686853","1","1"
"22696048","1","1"
"38067","11","1"
"35897","11","1"
"22696042","1","1"
"38068","11","1"
"34561","11","1"
"32056","11","1"
"33698","11","1"
"32382","11","1"
"59379","3","1"
"199901","11","1"
"19893017","11","1"
"134106","5","1"
"46448","11","1"
"46449","11","1"
"31991","11","1"
"38751","11","1"
"46450","11","1"
"22692581","1","1"
"22692552","1","1"
"22685548","1","1"
"37979","11","1"
"30981","12","1"
"30982","12","1"
"30497","12","1"
"42197","12","1"
"30989","12","1"
"22679063","1","1"
"22727395","1","1"
"22679038","1","1"
"22679029","1","1"
"30322","11","1"
"30323","11","1"
"22715783","1","1"
"2039","7","1"
"197889","5","1"
"2045","0","1"
"38373","11","1"
"32043","11","1"
"34979","11","1"
"32044","11","1"
"38184","10","1"
"35234","11","1"
"183563","4","1"
"41690","0","1"
"72050476","0","1"
"2068","9","1"
"2069","9","1"
"2070","9","1"
"2071","9","1"
"70205537","0","1"
"37563","11","1"
"16084569","6","1"
"22698182","1","1"
"22698195","1","1"
"37813","11","1"
"45505","11","1"
"45506","11","1"
"30630","11","1"
"35229","11","1"
"38424","11","1"
"36812","11","1"
"37328","11","1"
"33355","11","1"
"30636","11","1"
"33753","11","1"
"30638","11","1"
"37330","11","1"
"39028","10","1"
"37329","11","1"
"39026","10","1"
"39029","10","1"
"38190","10","1"
"38191","10","1"
"63222","6","1"
"169290","6","1"
"165346","7","1"
"156650","7","1"
"157219","7","1"
"196466","9","1"
"196469","9","1"
"196470","9","1"
"44112","11","1"
"44157","11","1"
"44159","11","1"
"156840","7","1"
"40775","0","1"
"40776","0","1"
"38071","11","1"
"44393096","10","1"
"203169","2","1"
"45929","10","1"
"32237","11","1"
"46473","11","1"
"46474","11","1"
"46476","11","1"
"46375","11","1"
"46528","11","1"
"46532","11","1"
"162040","11","1"
"182186","4","1"
"20639350","6","1"
"193786","4","1"
"22724899","1","1"
"22724917","1","1"
"40885","11","1"
"164249","11","1"
"40934","11","1"
"54371","3","1"
"176285","3","1"
"33195","11","1"
"30865","11","1"
"33245","11","1"
"32383","11","1"
"33246","11","1"
"2143","5","1"
"165199","10","1"
"2150","0","1"
"35307","11","1"
"46533","11","1"
"20659675","6","1"
"199581","2","1"
"46534","11","1"
"54142410","11","1"
"54142016","11","1"
"39183","12","1"
"64547977","6","1"
"2158","5","1"
"2171","6","1"
"103636330","11","1"
"103636244","11","1"
"176533","10","1"
"176406","10","1"
"103636254","11","1"
"199910","10","1"
"162190","10","1"
"103634680","11","1"
"64255","2","1"
"64271","2","1"
"64274","2","1"
